cr59c_begindate,cr59c_deliverymethoddescriptor,cr59c_deliverymethoddescriptorid,cr59c_discriminator,cr59c_educationorganizationid,cr59c_enddate,importsequencenumber,cr59c_interventionclassdescriptor,cr59c_interventionclassdescriptorid,cr59c_interventionidentificationcode,cr59c_interventiontier,cr59c_interventiontypeid,cr59c_maxdosage,cr59c_mindosage,cr59c_ppt_interventionparty,cr59c_ppt_interventiontypesid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
,Individual,,,,,,Other,,MeetingWithStudent,1,2,,,,5acd12b7-3cba-ea11-a812-000d3a8db680,Active,Active,,,3965702,
,Individual,,,,,,Other,,ContactHome,1,3,,,,cb4c75c1-3cba-ea11-a812-000d3a8db680,Active,Active,,,3965698,
,Individual,,,,,,Other,,OfferSuggestedAcademicSocialBehavioralSupport_ie_Tutoring_Clubs_Activities_etc,1,4,,,,8b85e1fe-3cba-ea11-a812-000d3a8db680,Active,Active,,,3965693,
,Small Group,,,,,,Other,,MeetWithStudentRegularly_SmallGroup,2,5,,,,8e73911b-3dba-ea11-a812-000d3a8db680,Active,Active,,,3965683,
,Individual,,,,,,Other,,AttendancePlan,3,6,,,,92c00233-3dba-ea11-a812-000d3a8db680,Active,Active,,,3965678,
,Individual,,,,,,Other,,SAP_Referral,3,7,,,,e2674354-3dba-ea11-a812-000d3a8db680,Active,Active,,,3965674,
,Individual,,,,,,Other,,CYF_Referral,3,8,,,,2f9ea05b-3dba-ea11-a812-000d3a8db680,Active,Active,,,3965670,
,Individual,,,,,,Other,,504_Evaluation,3,9,,,,7e553b69-3dba-ea11-a812-000d3a8db680,Active,Active,,,3965666,
,Individual,,,,,,Other,,SpecialEducation_Evaluation,3,10,,,,cabb8b7a-3dba-ea11-a812-000d3a8db680,Active,Active,,,3965663,
,Individual,,,,,,Other,,TargetBehaviors_UseReinforcersAndConsequences,1,86,,,,0ac178de-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965644,
,Individual,,,,,,Class,,TimeOut,1,85,,,,a3804cc3-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965635,
,Individual,,,,,,Other,,LossOfPrivileges,1,84,,,,c07e72b4-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965626,
,Individual,,,,,,Other,,HomeOrSchoolReport,1,83,,,,f56c1fa3-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965617,
,Individual,,,,,,Other,,StayInDuringRecessOrAfterSchool,1,82,,,,a0bae787-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965608,
,Whole Group,,,,,,Class,,UseLogicalConsequences,1,81,,,,3a509d6f-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965599,
,Individual,,,,,,Supplement,,PositiveNotesSentHomeOnRegularBasis,1,80,,,,6fa0a05d-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965590,
,Individual,,,,,,Class,,IncreasePraiseOrPositiveComments,1,79,,,,01380044-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965581,
,Small Group,,,,,,Class,,GiveStudentsBehavioralChoicesOrOptions,1,78,,,,07331a2d-b2bf-ea11-a812-000d3a8db680,Active,Active,,,3965572,
